<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РусГидро;D;20/10/23;000000;0.8651;0.8809;0.86;0.8731;639680000;0
РусГидро;D;21/10/23;000000;0.8731;0.8731;0.8731;0.8731;0;0
РусГидро;D;22/10/23;000000;0.8731;0.8731;0.8731;0.8731;0;0
РусГидро;D;23/10/23;000000;0.8798;0.8888;0.8621;0.8729;561574000;0
РусГидро;D;24/10/23;000000;0.876;0.8829;0.8653;0.8817;258956000;0
РусГидро;D;25/10/23;000000;0.88;0.888;0.8742;0.8765;177538000;0
РусГидро;D;26/10/23;000000;0.878;0.878;0.8488;0.8514;387839000;0
РусГидро;D;27/10/23;000000;0.8549;0.8604;0.83;0.8401;527012000;0
РусГидро;D;28/10/23;000000;0.8401;0.8401;0.8401;0.8401;0;0
РусГидро;D;29/10/23;000000;0.8401;0.8401;0.8401;0.8401;0;0
РусГидро;D;30/10/23;000000;0.84;0.8506;0.8362;0.8381;182873000;0
РусГидро;D;31/10/23;000000;0.838;0.84;0.8155;0.8212;341877000;0
РусГидро;D;01/11/23;000000;0.8191;0.8257;0.8133;0.8185;274548000;0
РусГидро;D;02/11/23;000000;0.8185;0.8244;0.8062;0.812;370836000;0
РусГидро;D;03/11/23;000000;0.8138;0.8194;0.803;0.8053;311217000;0
РусГидро;D;04/11/23;000000;0.8053;0.8053;0.8053;0.8053;0;0
РусГидро;D;05/11/23;000000;0.8053;0.8053;0.8053;0.8053;0;0
РусГидро;D;06/11/23;000000;0.8057;0.8199;0.8057;0.8196;144096000;0
РусГидро;D;07/11/23;000000;0.8196;0.8225;0.8138;0.815;122011000;0
РусГидро;D;08/11/23;000000;0.8159;0.8221;0.8125;0.8174;121944000;0
РусГидро;D;09/11/23;000000;0.8151;0.8195;0.8081;0.8147;124010000;0
РусГидро;D;10/11/23;000000;0.8145;0.816;0.8048;0.8075;102017000;0
РусГидро;D;11/11/23;000000;0.8075;0.8075;0.8075;0.8075;0;0
РусГидро;D;12/11/23;000000;0.8075;0.8075;0.8075;0.8075;0;0
РусГидро;D;13/11/23;000000;0.8073;0.8113;0.8017;0.8075;151687000;0
РусГидро;D;14/11/23;000000;0.8072;0.8072;0.7809;0.7899;296681000;0
РусГидро;D;15/11/23;000000;0.7899;0.7989;0.785;0.7911;162896000;0
РусГидро;D;16/11/23;000000;0.794;0.7978;0.7768;0.7784;196014000;0
РусГидро;D;17/11/23;000000;0.7821;0.7875;0.7707;0.7828;231191000;0
РусГидро;D;18/11/23;000000;0.7828;0.7828;0.7828;0.7828;0;0
РусГидро;D;19/11/23;000000;0.7828;0.7828;0.7828;0.7828;0;0
РусГидро;D;20/11/23;000000;0.7863;0.8023;0.7835;0.7976;200110000;0
РусГидро;D;21/11/23;000000;0.799;0.8018;0.7915;0.7972;112281000;0
РусГидро;D;22/11/23;000000;0.7995;0.8055;0.792;0.7959;112534000;0
РусГидро;D;23/11/23;000000;0.7959;0.7993;0.7825;0.7845;117539000;0
РусГидро;D;24/11/23;000000;0.7855;0.7971;0.7855;0.7936;113530000;0
РусГидро;D;25/11/23;000000;0.7936;0.7936;0.7936;0.7936;0;0
